一	j ɐ t
柴	t sʰ a:i
梳	s ɔ:
偶	ŋ ɐu
排	pʰ a:i
桶	tʰ ʊ ŋ
條	tʰ i:u
梯	tʰ ɐi
訥	n ɐ t
訥	n ɵ t
魚	j y:
棉	m i: n
棍	k w ɐ n
棒	pʰ a: ŋ
棚	pʰ a: ŋ
筏	f ɐ t
椿	t sʰ ɵ n
樁	t s ɔ: ŋ
漿	t s œ: ŋ
箱	s œ: ŋ
雕	t i:u
欄	l a: n
欠	h i: m
缺	kʰ y: t
稅	s ɵy
繳	k i:u
繳	t s œ: k
步	p ou
咳	h a:i
咳	kʰ ɐ t
咳	kʰ ɔ:i
咳	h ɔ:i
歹	a: t
歹	t a:i
徒	tʰ ou
例	l ɐi
武	m ou
重	t sʰ ʊ ŋ
重	t s ʊ ŋ
率	l ɵ t
率	s ɵ t
喻	j y:
較	k a:u
劃	w a: k
價	k a:
擬	j i:
毛	m ou
皮	pʰ ei
豆	t ɐu
刷	s a: t
刷	t sʰ a: t
病	p ɪ ŋ
病	p ɛ: ŋ
紡	f ɔ: ŋ
毯	tʰ a: m
毯	tʰ a: n
髮	f a: t
氈	t s i: n
蟲	t sʰ ʊ ŋ
蟹	h a:i
襪	m a: t
襪	m ɐ t
氏	t s i:
氏	s i:
牛	ŋ ɐu
仙	s i: n
池	t sʰ i:
坑	h a: ŋ
杯	p u:i
果	k w ɔ:
果	k u:
泡	pʰ ou
泡	pʰ a:u
泡	pʰ ɔ: k
波	p ɔ:
泥	n ɐi
泥	l ɐi
泥	n ei
泵	p ɐ m
缸	k ɔ: ŋ
珠	t s y:
草	t sʰ ou
域	w ɪ k
深	s ɐ m
壺	w u:
晶	t s ɪ ŋ
渠	kʰ ɵy
痘	t ɐu
蛭	t s ɐ t
塔	tʰ a: p
塘	tʰ ɔ: ŋ
源	j y: n
準	t s ɵ n
溫	w ɐ n
腫	t s ʊ ŋ
閘	t s a: p
滴	t ɪ k
餃	k a:u
槽	t sʰ ou
潭	tʰ a: m
壓	a: t
壓	ŋ a: t
獺	t sʰ a: t
藻	t s ou
壩	p a:
舌	s i: t
把	p a:
炕	kʰ ɔ: ŋ
炕	h ɔ: ŋ
炬	k ɵy
炮	p a:u
炮	pʰ a:u
盆	pʰ u: n
苗	m i:u
砲	pʰ a:u
砲	p a:u
速	t sʰ ʊ k
焰	j i: m
熱	j i: t
燄	j i: m
燒	s i:u
燭	t s ʊ k
爐	l ou
爪	t s a:u
牙	a:
牙	ŋ a:
父	f u:
系	h ɐi
蔭	j ɐ m
輩	p u:i
親	t sʰ ɐ n
酬	t sʰ ɐu
垢	k ɐu
膏	k ou
縫	f ʊ ŋ
齦	ŋ ɐ n
齦	h ɐ n
仔	t s i:
仔	t s ɐi
扒	pʰ a:
乳	j y:
油	j ɐu
腩	l a: m
腩	n a: m
蒡	p ɔ: ŋ
脷	l ei
犬	h y: n
妃	f ei
府	f u:
者	t s ɛ:
室	s ɐ t
牌	pʰ a:i
儲	t sʰ ou
儲	t sʰ y:
且	t s œ: ŋ
且	t s ɵy
且	t sʰ ɛ:
慢	m a: n
代	t ɔ:i
交	k a:u
俗	t s ʊ k
姪	t s ɐ t
界	k a:i
紀	k ei
襲	t s a: p
