一	j ɐ t
蓋	k ɔ:i
蓋	kʰ ɔ:i
劇	kʰ ɛ: k
寬	f u: n
包	p a:u
含	h ɐ m
庇	p ei
括	kʰ u: t
紮	t s a: t
廂	s œ: ŋ
袱	f ʊ k
裹	k w ɔ:
藏	t sʰ ɔ: ŋ
藏	t s ɔ: ŋ
攬	l a: m
匆	t sʰ ʊ ŋ
忙	m ɔ: ŋ
北	p a: k
北	p ɐ k
伐	f ɐ t
緯	w ɐi
翼	j ɪ k
死	s i:
死	s ei
百	p a: k
晌	h œ: ŋ
圓	j y: n
飽	p a:u
截	t s i: t
占	t s i: m
占	t s ɛ: m
卡	kʰ a:
卡	kʰ a: t
留	l ɐu
殼	h ɔ: k
怪	k w a:i
玩	w u: n
玩	w a: n
訓	f ɐ n
瓷	t sʰ i:
堡	p ou
董	t ʊ ŋ
詩	s i:
箏	t s a: ŋ
箏	t s ɐ ŋ
樸	p ʊ k
樸	pʰ ɔ: k
諺	j i: n
蹟	t s ɪ k
句	k ɵy
句	k ɐu
另	l ɪ ŋ
議	j i:
叨	tʰ ou
叨	t ou
叩	kʰ ɐu
拜	p a:i
謝	t s ɛ:
消	s i:u
叫	k i:u
做	t s ou
喚	w u: n
喚	f u: n
罵	m a:
醒	s ɪ ŋ
醒	s ɛ: ŋ
嚷	j œ: ŋ
囂	h i:u
召	s i:u
召	t s i:u
回	w u:i
叮	t ɪ ŋ
嚀	n ɪ ŋ
囑	t s ʊ k
否	f ɐu
否	pʰ ei
恥	t sʰ i:
笑	s i:u
喜	h ei
悲	p ei
貴	k w ɐi
敬	k ɪ ŋ
疑	j i:
憐	l i: n
樂	l ɔ: k
樂	ŋ ɔ: k
樂	ŋ a:u
靠	kʰ a:u
謂	w ɐi
階	k a:i
幣	p ɐi
端	t y: n
鑒	k a: m
叱	t sʰ ɪ k
責	t s a: k
喝	h ɔ: t
史	s i:
評	pʰ ɪ ŋ
右	j ɐu
肋	l ɐ k
肋	l a: k
側	t s ɐ k
傾	kʰ ɪ ŋ
儀	j i:
囚	t sʰ ɐu
牢	l ou
四	s i:
四	s ei
週	t s ɐu
濺	t s i: n
商	s œ: ŋ
埠	f ɐu
埠	p ou
婆	pʰ ɔ:
戚	t sʰ ɪ k
痔	t s i:
甥	s ɐ ŋ
甥	s a: ŋ
貿	m ɐu
匯	w u:i
遇	j y:
敷	f u:
失	s ɐ t
守	s ɐu
控	h ʊ ŋ
望	m ɔ: ŋ
陪	pʰ u:i
誤	ŋ
聰	t sʰ ʊ ŋ
禮	l ɐi
蹤	t s ʊ ŋ
寵	t sʰ ʊ ŋ
戀	l y: n
竊	s i: t
奴	n ou
役	j ɪ k
婢	pʰ ei
隸	t ɐi
隸	l ɐi
粉	f ɐ n
瓶	pʰ ɛ: ŋ
瓶	pʰ ɪ ŋ
酪	l ɔ: k
酪	l ou
嘴	t s ɵy
孕	j ɐ n
育	j ʊ k
它	tʰ ɔ:
它	tʰ a:
尼	n ei
庵	ɐ m
龍	l ʊ ŋ
左	t s ɔ:
近	k ɐ n
近	kʰ ɐ n
輪	l ɵ n
妙	m i:u
巨	k ɵy
浪	l ɔ: ŋ
富	f u:
禍	w ɔ:
蟒	m ɔ: ŋ
額	ŋ a: k
獸	s ɐu
委	w ɐi
況	f ɔ: ŋ
郊	k a:u
儈	kʰ u:i
疋	ŋ a:
疋	pʰ ɐ t
疋	s ɔ:
紋	m ɐ n
置	t s i:
裙	kʰ w ɐ n
鞋	h a:i
均	kʰ w ɐ n
均	k w ɐ n
均	w ɐ n
坦	tʰ a: n
原	j y: n
淡	tʰ a: m
淡	t a: m
緩	w u: n
衡	w a: ŋ
衡	h ɐ ŋ
幼	j ɐu
芽	ŋ a:
童	tʰ ʊ ŋ
獅	s i:
稚	t s i:
齡	l ɪ ŋ
弘	w ɐ ŋ
備	p ei
須	s ɵy
打	t a:
劫	k i: p
坐	t sʰ ɔ:
坐	t s ɔ:
岔	t sʰ a:
扮	p a: n
昏	f ɐ n
垮	kʰ w a:
拼	pʰ ɛ: ŋ
拼	pʰ ɪ ŋ
盹	t ɵ n
拳	kʰ y: n
烊	j œ: ŋ
破	pʰ ɔ:
鬥	t ɐu
掃	s ou
傘	s a: n
嗝	k a: k
雷	l ɵy
靶	p a:
滾	kʰ w ɐ n
滾	k w ɐ n
撈	l a:u
撈	l ou
賭	t ou
趣	t sʰ ʊ k
趣	t sʰ ɵy
鬧	n a:u
鬧	l a:u
磨	m ɔ:
獵	l i: p
翻	f a: n
顫	t s i: n
攪	k a:u
扔	w ɪ ŋ
扔	j ɪ ŋ
棄	h ei
曱	k a: t
曱	k ɐ t
曱	k a: p
曱	k a: k
曱	t s a: t
甴	k a: t
甴	t s a: t
未	m ei
幾	k ei
嘗	s œ: ŋ
末	m u: t
梢	s a:u
本	p u: n
札	t s a: t
宗	t s ʊ ŋ
統	tʰ ʊ ŋ
規	kʰ w ɐi
確	kʰ ɔ: k
狗	k ɐu
豬	t s y:
艦	l a: m
謠	j i:u
永	w ɪ ŋ
恆	h ɐ ŋ
遠	j y: n
氾	f a: n
濫	l a: m
汁	t s ɐ p
液	j ɐ t
液	j ɪ k
戒	k a:i
罪	t s ɵy
玄	j y: n
玉	j ʊ k
米	m ɐi
佛	p ɐ t
佛	f ɐ t
佩	pʰ u:i
兔	tʰ ou
珮	pʰ u:i
釵	t sʰ a:i
釵	t sʰ a:
簪	t s a: m
璽	s a:i
鈪	ŋ a: k
鈪	a: k
葛	k ɔ: t
藤	tʰ ɐ ŋ
瓦	ŋ a:
煲	p ou
礫	l ɪ k
泉	t sʰ y: n
苦	f u:
脆	t sʰ ɵy
甜	tʰ i: m
蔗	t s ɛ:
薯	s y:
露	l ɐu
露	l ou
存	t sʰ y: n
冷	l a: ŋ
辰	s ɐ n
活	w u: t
財	t sʰ ɔ:i
疏	s ɔ:
殖	t s ɪ k
硬	ŋ a: ŋ
擒	kʰ ɐ m
澀	s ɐ p
澀	s a: p
澀	k i: p
薑	k œ: ŋ
還	w a: n
還	s y: n
鐵	tʰ i: t
刑	j ɪ ŋ
完	j y: n
畢	p ɐ t
甩	l ɐ t
脫	tʰ y: t
契	kʰ ɐi
契	s i: t
契	kʰ i: t
鼠	s y:
螺	l ɔ:
由	j ɐu
衷	t s ʊ ŋ
衷	t sʰ ʊ ŋ
甲	k a: p
冤	j y: n
請	t sʰ ɪ ŋ
請	t sʰ ɛ: ŋ
白	p a: k
沫	m u: t
紙	t s i:
酒	t s ɐu
晝	t s ɐu
晢	t s ɐi
晢	s ɪ k
淨	t s ɛ: ŋ
淨	t s ɪ ŋ
粥	t s ʊ k
雲	w ɐ n
楊	j œ: ŋ
痴	t sʰ i:
皙	s ɪ k
嫩	l y: n
嫩	n y: n
銀	ŋ ɐ n
銀	ɐ n
醋	t sʰ ou
糖	tʰ ɔ: ŋ
癡	t sʰ i:
蠟	l a: p
鶴	h ɔ: k
鷺	l ou
夾	k a: p
夾	k i: p
夾	k ɛ: p
夾	k ɐ p
炎	j i: m
疹	t sʰ ɐ n
疹	t s ɐ n
脂	t s i:
蛋	t a: n
帽	m ou
靴	h ɛ:u
膚	f u:
鞭	p i: n
囊	n ɔ: ŋ
的	t i:
的	t ɪ k
送	s ʊ ŋ
睹	t ou
標	p i:u
錄	l ʊ k
矛	m a:u
盾	tʰ ɵ n
盾	s ɵ n
矢	t sʰ i:
灰	f u:i
窟	f ɐ t
榴	l ɐu
隙	k w ɪ k
墨	m ɐ k
壁	p ɛ: k
壁	p ɪ k
罅	l a:
礦	k w ɔ: ŋ
礦	kʰ w ɔ: ŋ
威	w ɐi
範	f a: n
禾	w ɔ:
穴	j y: t
即	t s ɪ k
春	t sʰ ɵ n
夏	h a:
誓	s ɐi
憲	h i: n
丞	s ɪ ŋ
丟	t i:u
臉	l i: m
乒	pʰ ɪ ŋ
乒	p ɪ ŋ
乓	p ɐ m
乓	pʰ ɔ: ŋ
易	j i:
易	j ɪ k
待	t ɔ:i
接	t s i: p
談	tʰ a: m
織	t s ɪ k
歡	f u: n
亥	h ɔ:i
仰	j œ: ŋ
仰	ŋ ɔ: ŋ
臥	ŋ ɔ:
慕	m ou
仲	t s ʊ ŋ
裁	t sʰ ɔ:i
何	h ɔ:
仿	f ɔ: ŋ
冒	m ou
冒	m ɐ k
傚	h a:u
企	kʰ ei
盼	pʰ a: n
圖	tʰ ou
伉	kʰ ɔ: ŋ
儷	l ɐi
伊	j i:
伎	k ei
倆	l œ: ŋ
特	t ɐ k
樹	s y:
休	j ɐu
克	h a: k
克	h ɐ k
假	k a:
閒	k a: n
閒	h a: n
養	j œ: ŋ
憩	h ei
伴	pʰ u: n
伴	p u: n
殘	t sʰ a: n
先	s i: n
決	kʰ y: t
哲	t s i: t
烈	l i: t
賢	j i: n
驅	kʰ ɵy
束	t sʰ ʊ k
禿	tʰ ʊ k
芒	m ɔ: ŋ
圈	k y: n
圈	h y: n
陰	j ɐ m
榮	w ɪ ŋ
輝	f ɐi
澤	t s a: k
臨	l ɐ m
鮮	s i: n
譜	pʰ ou
纖	t sʰ i: m
全	t sʰ y: n
盤	pʰ u: n
聚	t s ɵy
鳴	m ɪ ŋ
冰	p ɪ ŋ
凍	t ʊ ŋ
窖	k a:u
雹	p ɔ: k
磚	t s y: n
錐	j ɵy
錐	t s ɵy
罰	f ɐ t
划	w a:
槳	t s œ: ŋ
島	t ou
劣	l y: t
盒	h ɐ p
盒	h a: p
模	m ou
危	ŋ ɐi
殆	t ɔ:i
殆	tʰ ɔ:i
透	tʰ ɐu
虧	kʰ w ɐi
虧	f ɐi
齋	t s a:i
齋	t s ɐi
驚	k ɛ: ŋ
驚	k ɪ ŋ
各	k ɔ: k
各	k ɔ:
個	k ɔ:
項	h ɔ: ŋ
乎	f u:
乎	w u:
抱	pʰ ou
抱	p ou
拍	pʰ a: k
奏	t s ɐu
夥	f ɔ:
吉	k ɐ t
祥	t sʰ œ: ŋ
扇	s i: n
胞	p a:u
袍	pʰ ou
僚	l i:u
儕	t sʰ a:i
伶	l ɪ ŋ
勝	s ɪ ŋ
媛	j y: n
媛	w u: n
譽	j y:
吏	l ei
吐	tʰ ou
扣	kʰ ɐu
帖	tʰ i: p
巢	t sʰ a:u
答	t a: p
絕	t s y: t
溯	s ou
稟	l ɐ m
稟	p ɐ n
憶	j ɪ k
歸	k w ɐi
贈	t s ɐ ŋ
饋	k w ɐi
囡	n ɵy
囡	n a: m
囡	l ɵy
押	a: p
押	ŋ a: p
押	a: t
址	t s i:
基	k ei
痞	pʰ ei
鋪	pʰ ou
震	t s ɐ n
寡	k w a:
夷	j i:
詐	t s a:
猾	w a: t
她	tʰ a:
她	j i:
似	t sʰ i:
客	h a: k
靚	t s ɪ ŋ
靚	l ɛ: ŋ
若	j œ: k
若	j ɛ:
嬪	pʰ ɐ n
嬪	p ɐ n
妄	m ɔ: ŋ
念	n i: m
孖	m a:
彙	w ɐi
彙	w u:i
謎	m ɐi
查	t s a:
查	t sʰ a:
摺	t s a: p
摺	t s i: p
檔	t ɔ: ŋ
宇	j y:
宙	t s ɐu
孝	h a:u
更	k ɐ ŋ
更	k a: ŋ
更	ɐ ŋ
喪	s ɔ: ŋ
衛	w ɐi
護	w u:
胎	tʰ ɔ:i
泰	tʰ a:i
康	h ɔ: ŋ
逸	j ɐ t
頓	t ɵ n
頓	t ʊ k
寧	n ɪ ŋ
慰	w ɐi
撫	f u:
寺	t s i:
廟	m i:u
銳	j ɵy
屹	ŋ ɐ t
州	t s ɐu
帆	f a: n
青	t sʰ ɪ ŋ
青	t sʰ ɛ: ŋ
俸	f ʊ ŋ
終	t s ʊ ŋ
輕	h ɛ: ŋ
輕	h ɪ ŋ
糕	k ou
邁	m a:i
鑑	k a: m
微	m ei
碌	l ʊ k
就	t s ɐu
熟	s ʊ k
托	tʰ ɔ: k
受	s ɐu
屍	s i:
拾	s ɐ p
買	m a:i
賄	f u:i
賄	kʰ u:i
據	k ɵy
斂	l i: m
歛	l i: m
獲	w ɔ: k
獲	w a:i
縮	s ʊ k
購	k ɐu
購	kʰ ɐu
穫	w ɔ: k
洩	s i: t
洩	j ɐi
茶	t sʰ a:
衰	s ɵy
衰	t sʰ ɵy
操	t sʰ ou
旭	j ʊ k
曲	kʰ ʊ k
朱	t s y:
訊	s ɵ n
寂	t s ɪ k
諫	k a: n
汗	h ɔ: n
汗	h ɔ: ŋ
衫	s a: m
臭	t sʰ ɐu
腺	s i: n
漬	t s i:
漬	t s ɪ k
顏	ŋ a: n
汝	j y:
江	k ɔ: ŋ
污	w u:
染	j i: m
辱	j ʊ k
蔑	m i: t
濁	t s ʊ k
穢	w ɐi
暗	ŋ ɐ m
暗	ɐ m
燼	t s ɵ n
牟	m ɐu
姓	s ɪ ŋ
姓	s ɛ: ŋ
竹	t s ʊ k
竿	k ɔ: n
椅	j i:
筐	kʰ w a: ŋ
筐	h ɔ: ŋ
筒	tʰ ʊ ŋ
蓆	t s ɛ: k
蓆	t s ɪ k
篙	k ou
簾	l i: m
籃	l a: m
籬	l ei
倉	t sʰ ɔ: ŋ
粒	n ɐ p
粒	l ɐ p
湯	s œ: ŋ
湯	tʰ ɔ: ŋ
黃	w ɔ: ŋ
舖	pʰ ou
糠	h ɔ: ŋ
糧	l œ: ŋ
羽	j y:
伯	p a: k
伯	p a:
虎	f u:
爹	t ɛ:
翁	j ʊ ŋ
衲	n a: p
粗	t sʰ ou
僧	s ɐ ŋ
僧	t s ɐ ŋ
練	l i: n
闆	p a: n
鷹	j ɪ ŋ
究	k ɐu
卷	k y: n
卷	kʰ y: n
訂	t ɪ ŋ
訂	t ɛ: ŋ
核	h ɐ t
核	w ɐ t
察	t sʰ a: t
慮	l ɵy
朵	t ɛ:u
朵	t ɔ:
屎	s i:
屎	h ei
聞	m ɐ n
膜	m ɔ: k
膜	m ou
桂	k w ɐi
絲	s i:
搏	p ɔ: k
慾	j ʊ k
瘤	l ɐu
餡	h a: m
醬	t s œ: ŋ
骨	k w ɐ t
肌	k ei
腱	t s i: n
腱	k i: n
己	k ei
刎	m ɐ n
我	ŋ ɔ:
找	t s a:u
私	s i:
制	t s ɐi
卑	p ei
咎	k ɐu
咎	k ou
恃	t sʰ i:
負	f u:
娛	j y:
創	t sʰ ɔ: ŋ
尊	t s ɵ n
尊	t s y: n
傲	ŋ ou
詡	h ɵy
誇	kʰ w a:
盡	t s ɵ n
燃	j i: n
縊	ɐi
誠	s ɪ ŋ
臼	kʰ ɐu
苔	tʰ ɔ:i
狼	l ɔ: ŋ
泊	pʰ a: k
泊	p ɔ: k
淚	l ɵy
腥	s ɪ ŋ
腥	s ɛ: ŋ
癌	a: m
癌	ŋ a: m
李	l ei
刺	s ɪ k
刺	t sʰ ɪ k
刺	t sʰ i:
刺	t sʰ ɛ: k
距	k ɵy
距	kʰ ɵy
駛	s ɐi
騙	pʰ i: n
着	t s œ: k
缽	p u: t
袖	t s ɐu
鉢	p u: t
飾	s ɪ k
裳	s œ: ŋ
履	l ei
履	l ɵy
櫃	k w ɐi
櫥	t sʰ y:
襟	kʰ ɐ m
襟	k ɐ m
西	s ɐi
連	l i: n
估	k u:
侶	l ɵy
舞	m ou
隨	t sʰ ɵy
俐	l ei
伸	s ɐ n
延	j i: n
展	t s i: n
伺	t s i:
佇	t sʰ y:
署	t sʰ y:
署	s y:
低	t ɐi
沈	s ɐ m
沈	t sʰ ɐ m
飛	f ei
胸	h ʊ ŋ
廉	l i: m
窪	w a:
所	s ɔ:
宿	s ɐu
宿	s ʊ k
慣	k w a: n
佐	t s ɔ:
佔	t s i: m
佚	j ɐ t
陀	tʰ ɔ:
弄	l ʊ ŋ
弄	n ʊ ŋ
梗	k w a: ŋ
梗	k ɐ ŋ
嘔	ɐu
嘔	ŋ ɐu
弊	p ɐi
廢	f ɐi
罷	p a:
罷	pʰ ei
你	n ei
佣	j ʊ ŋ
兌	t ɵy
疫	j ɪ k
團	tʰ y: n
冶	j ɛ:
艷	j i: m
峻	t s ɵ n
飲	j ɐ m
暖	l y: n
暖	n y: n
酷	h ʊ k
僻	pʰ ɪ k
僻	p u:i
霜	s œ: ŋ
判	pʰ u: n
跑	pʰ a:u
墅	s ɵy
緻	t s i:
刨	pʰ a:u
尿	s ɵy
尿	n i:u
潤	j ɵ n
刪	s a: n
改	k ɔ:i
略	l œ: k
努	n ou
掠	l œ: k
卵	l ɵ n
吝	l ɵ n
嗇	s ɪ k
吞	tʰ ɐ n
嚥	j i: n
嚥	j i: t
吟	ŋ ɐ m
吟	ɐ m
吟	j ɐ m
詠	w ɪ ŋ
誦	t s ʊ ŋ
吠	f ɐi
吩	f ɐ n
咐	f u:
怒	n ou
混	w ɐ n
羞	s ɐu
蓄	t sʰ ʊ k
糊	w u:
吵	t sʰ a:u
吶	n a: p
吶	n ɐ t
吶	n ɵ t
吸	kʰ ɐ p
吸	ŋ ɐ p
吮	s y: n
吹	t sʰ ɵy
捧	f ʊ ŋ
捧	p ʊ ŋ
捧	pʰ ʊ ŋ
笛	t ɛ: k
噓	h ɛ:u
噓	h ɵy
吼	h a:u
吼	h ɐu
吾	ŋ
呆	t a:i
呆	ŋ ɔ:i
笨	p ɐ n
滯	t s ɐi
呈	t sʰ ɪ ŋ
閱	j y: t
狀	t s ɔ: ŋ
密	m ɐ t
捷	t s i: t
囤	tʰ y: n
囤	t ɵ n
困	kʰ w ɐ n
倦	k y: n
惑	w a: k
坊	f ɔ: ŋ
坎	h ɐ m
坷	h ɔ:
墊	t i: n
墊	t i: m
墊	t s i: n
禪	s i: m
禪	s i: n
壯	t s ɔ: ŋ
健	k i: n
闊	f u: t
麗	l ɐi
雜	t s a: p
妊	j ɐ m
娠	t s ɐ n
娠	s ɐ n
妒	t ou
妓	k ei
妖	j i:u
精	t s ɛ: ŋ
精	t s ɪ ŋ
魅	m ei
魅	m u:i
孽	j i: p
孽	j i: t
魔	m ɔ:
協	h i: p
貼	tʰ i: p
礙	ŋ ɔ:i
悌	t ɐi
悌	tʰ ɐi
順	s ɵ n
宋	s ʊ ŋ
美	m ei
宏	w ɐ ŋ
偉	w ɐi
促	t sʰ ʊ k
屁	pʰ ei
防	f ɔ: ŋ
迴	w u:i
邏	l ɔ:
希	h ei
罕	h ɔ: n
冀	kʰ ei
佑	j ɐu
廕	j ɐ m
褥	j ʊ k
僵	k œ: ŋ
壞	w a:i
彷	f ɔ: ŋ
彷	pʰ ɔ: ŋ
彿	f ɐ t
諱	w ɐi
忍	j ɐ n
耐	l ɔ:i
耐	n ɔ:i
忐	tʰ a: n
忑	tʰ ɪ k
忘	m ɔ: ŋ
忤	ŋ
逆	ŋ a: k
逆	j ɪ k
遞	t ɐi
嚴	j i: m
扭	n ɐu
扭	l ɐu
扯	t sʰ ɛ:
爛	l a: n
扳	pʰ a: n
扶	f u:
貧	pʰ ɐ n
植	t s ɪ k
扼	a: k
扼	ɐ k
扼	a:
尋	t sʰ ɐ m
窮	kʰ ʊ ŋ
抉	kʰ y: t
擇	t s a: k
舵	tʰ ɔ:
握	a: k
握	ɐ k
抑	j ɪ k
或	w a: k
鬱	w ɐ t
抒	s y:
抓	t s a:
抓	t s a:u
抓	a:u
投	tʰ ɐu
奔	p ɐ n
寄	k ei
擲	t s a: k
抖	t ɐu
抖	tʰ ɐu
擻	s ɐu
拒	kʰ ɵy
爭	t sʰ a: ŋ
爭	t s a: ŋ
爭	t s ɐ ŋ
洪	h ʊ ŋ
暴	p ʊ k
暴	p ou
禦	j y:
枝	t s i:
枝	kʰ ei
返	f a: n
壽	s ɐu
騰	tʰ ɐ n
騰	tʰ ɐ ŋ
建	k i: n
讀	t ʊ k
讀	t ɐu
新	s ɐ n
杉	t sʰ a: m
杏	h ɐ ŋ
脯	pʰ ou
脯	f u:
村	t sʰ y: n
舍	s ɛ:
杜	t ou
撰	s y: n
撰	t s a: n
縛	f ɔ: k
縛	p ɔ: k
驟	t s a:u
驟	t s ɐu
每	m u:i
救	k ɐu
饒	j i:u
汪	w ɔ: ŋ
汲	kʰ ɐ p
堤	tʰ ɐi
汽	h ei
沃	j ʊ k
浸	t s ɐ m
淪	l ɵ n
悶	m u: n
溺	n ɪ k
溺	n i:u
澱	t i: n
默	m ɐ k
沉	t s ɐ m
沉	t sʰ ɐ m
沏	t sʰ i: t
沏	t sʰ ɐi
沐	m ʊ k
浴	j ʊ k
勁	k ɪ ŋ
沖	t sʰ ʊ ŋ
洗	s ɐi
劑	t s ɐi
沙	s a:
啞	a:
啞	ɐ k
灘	tʰ a: n
鷗	ɐu
灶	t s ou
灼	t s œ: k
灼	t sʰ œ: k
牠	tʰ ɔ:
牠	tʰ a:
牡	m a:u
牡	m ɐu
騷	s ou
狂	kʰ ɔ: ŋ
狂	kʰ w ɔ: ŋ
呼	f u:
飆	p i:u
秀	s ɐu
塾	s ʊ k
竟	k ɪ ŋ
兜	t ɐu
臍	t sʰ i:
肛	k ɔ: ŋ
肝	k ɔ: n
嬰	j ɪ ŋ
朋	pʰ ɐ ŋ
鬼	k w ɐi
習	t s a: p
逐	t s ʊ k
豉	s i:
渣	t s a:
腐	f u:
赤	t sʰ ɪ k
赤	t sʰ ɛ: k
膊	p ɔ: k
裸	l ɔ:
廊	l ɔ: ŋ
遍	p i: n
遍	pʰ i: n
避	p ei
穿	t sʰ y: n
兼	k i: m
軀	kʰ ɵy
站	t s a: m
輛	l œ: ŋ
辛	s ɐ n
辣	l ɐ t
辣	l a: t
迂	h ɵy
迂	j y:
迄	ŋ ɐ t
迄	h ɐ t
迅	s ɵ n
那	n ɔ:
那	a:
那	n a:
邦	p ɔ: ŋ
邪	t sʰ ɛ:
邪	j ɛ:
盜	t ou
衞	w ɐi
並	p ɪ ŋ
並	p ɔ: ŋ
肩	k i: n
乖	k w a:i
膠	k a:u
亞	a:
亞	ŋ a:
裔	j ɵy
佯	j œ: ŋ
佯	j ɵy
餚	ŋ a:u
釀	j œ: ŋ
佻	tʰ i:u
侄	t s ɪ k
侍	s i:
奉	f ʊ ŋ
侏	t s y:
儒	j y:
依	j i:
附	f u:
偎	w u:i
傍	pʰ ɔ: ŋ
傍	p ɔ: ŋ
循	t sʰ ɵ n
稀	h ei
賴	l a:i
媳	s ɪ k
棲	t sʰ ɐi
頰	k a: p
頰	h a: p
鬢	p ɐ n
始	t sʰ i:
刮	k w a: t
痧	s a:
達	t a: t
達	tʰ a: t
探	tʰ a: m
猬	w a: n
鼻	p ei
蝟	w ɐi
激	k ɪ k
繡	s ɐu
薄	p ɔ: k
剁	t œ: k
剁	t ɔ:
怯	h i: p
鄙	pʰ ei
卓	t s œ: k
卓	t sʰ œ: k
越	j y: t
卸	s ɛ:
悅	j y: t
捨	s ɛ:
締	t ɐi
締	tʰ ɐi
屈	w ɐ t
累	l ɵy
聘	pʰ ɪ ŋ
僱	k u:
賞	s œ: ŋ
呢	n ɛ:
呢	l i:
呢	n i:
呢	n ei
喃	n a: m
旋	s y: n
遭	t s ou
蕾	l ɵy
呵	h ɔ:
呻	s ɐ n
籲	j œ: k
籲	j y:
咀	t s ɵy
咒	t s ɐu
嚼	t s œ: k
嚼	t s i:u
咁	k ɐ m
咆	pʰ a:u
哮	h a:u
咋	t s a:
咋	t s a: k
尚	s œ: ŋ
睦	m ʊ k
諧	h a:i
咕	k u:
嚕	l ou
咖	kʰ a:
咖	k a:
啡	f ɛ:
啡	f ei
喱	l ei
執	t s ɐ p
承	s ɪ ŋ
蕩	t ɔ: ŋ
垃	l a: p
圾	s a: p
圾	kʰ ɐ p
蛾	ŋ ɐi
蛾	ŋ ɔ:
蛾	ɔ:
鶯	ɐ ŋ
異	j i:
葩	p a:
葩	pʰ a:
奈	n ɔ:i
祀	t s i:
馳	t sʰ i:
妾	t sʰ i: p
姆	m ou
姊	t s ɛ:
姊	t s i:
祖	t s ou
婉	j y: n
孤	k u:
雁	ŋ a: n
獨	t ʊ k
癖	pʰ ɪ k
邸	t ɐi
衙	ŋ a:
衙	a:
銜	h a: m
銜	h ɐ m
奪	t y: t
宛	j y: n
屆	k a:i
岩	ŋ a: m
鹽	j i: m
岳	ŋ ɔ: k
蘊	w ɐ n
庖	pʰ a:u
綿	m i: n
遲	t sʰ i:
弦	j y: n
弦	j i: n
弧	w u:
彼	p ei
剿	t sʰ a:u
剿	t s i:u
忠	t s ʊ ŋ
勇	j ʊ ŋ
貞	t s ɪ ŋ
忽	f ɐ t
怡	j i:
徵	t s i:
徵	t s ɪ ŋ
誕	t a: n
懦	n ɔ:
戾	l ɐi
戾	l ɵy
蒙	m ʊ ŋ
諾	n ɔ: k
繼	k ɐi
抨	pʰ ɪ ŋ
抨	pʰ a: ŋ
披	pʰ ei
抬	tʰ ɔ:i
槓	k ɔ: ŋ
槓	k ʊ ŋ
槓	l ʊ ŋ
轎	k i:u
恙	j œ: ŋ
歉	h i: m
歉	h i: p
憾	h ɐ m
擋	t ɔ: ŋ
償	s œ: ŋ
償	t sʰ œ: ŋ
觸	t s ʊ k
觸	t sʰ ʊ k
抹	m a: t
抹	m u: t
乾	k ɔ: n
乾	kʰ i: n
煞	s a: t
韻	w ɐ n
抽	t sʰ ɐu
泣	j ɐ p
屜	tʰ ɐi
筋	k ɐ n
搐	t sʰ ʊ k
抿	m ɐ n
拂	f ɐ t
拆	t sʰ a: k
毀	w ɐi
拇	m ou
拉	l a: p
拉	l a:i
拉	l a:
鍊	l i: n
攏	l ʊ ŋ
鏈	l i: n
麵	m i: n
拋	pʰ a:u
錨	n a:u
錨	m a:u
拌	pʰ u: n
拌	p u: n
攝	s i: p
攝	n i: p
拐	k w a:i
杖	t s œ: ŋ
彎	w a: n
捕	p ou
拓	tʰ ɔ: k
拓	tʰ a: p
荒	f ɔ: ŋ
拔	p ɐ t
秧	j œ: ŋ
萃	s ɵy
拖	tʰ ɔ:
曳	j ɐi
網	m ɔ: ŋ
拘	kʰ ɵy
謹	k ɐ n
拙	t s y: t
招	t s i:u
徠	l ɔ:i
募	m ou
惹	j ɛ:
搖	j i:u
魂	w ɐ n
牧	m ʊ k
晴	t sʰ ɛ: ŋ
晴	t sʰ ɪ ŋ
貸	tʰ ɪ k
貸	tʰ a:i
縱	t s ʊ ŋ
斧	f u:
旺	w ɔ: ŋ
盛	s ɪ ŋ
昂	ŋ ɔ: ŋ
昆	k w ɐ n
昌	t sʰ œ: ŋ
朗	l ɔ: ŋ
晰	s ɪ k
暸	l i:u
瞭	l i:u
顯	h i: n
眩	j y: n
厥	kʰ y: t
懂	t ʊ ŋ
輸	s y:
松	t sʰ ʊ ŋ
枇	pʰ ei
杷	pʰ a:
枉	w ɔ: ŋ
枕	t s ɐ m
蠅	j ɪ ŋ
葉	s i: p
葉	j i: p
欣	j ɐ n
羨	s i: n
氛	f ɐ n
沮	t s ɵy
畔	p u: n
豚	tʰ y: n
沸	f ɐi
炸	t s a:
漆	t sʰ ɐ t
膩	n ɐu
膩	n ei
療	l i:u
癒	j y:
沼	t s i:u
沾	t s i: m
濕	s ɐ p
沿	j y: n
泄	s i: t
泄	j ɐi
泛	f a: n
濤	tʰ ou
濘	n ɪ ŋ
鰍	t sʰ ɐu
釋	s ɪ k
泳	w ɪ ŋ
炆	m ɐ n
炊	t sʰ ɵy
炒	t sʰ a:u
炙	t s ɛ: k
炙	t s ɪ k
爬	pʰ a:
繩	s ɪ ŋ
拗	a:u
拗	ŋ a:u
訟	t s ʊ ŋ
霸	p a:
爸	p a:
狐	w u:
狸	l ei
狒	f ɐ t
狒	f ei
熊	h ʊ ŋ
竇	t ɐu
狙	t s ɵy
耍	s a:
厭	j i: m
玫	m u:i
瑰	k w ɐi
疙	k ɐ t
瘩	t a: p
播	p ɔ:
轄	h ɐ t
悉	s ɪ k
曉	h i:u
秉	p ɪ ŋ
暇	h a:
曠	kʰ w ɔ: ŋ
